,LV1,LV2,LV3,LV4,LV5
2.00_1.00_1.00_NH3+_C:,0.0017112219100275199,-0.0026099537261125667,-0.004025910975530255,-0.005283416902171636,-0.0064578883623205114
3.00_-4.00_-1.00_NH3+_C:,-0.002052753871184538,-0.0024864906468502618,-0.0026578162058655827,-0.002916537084430427,-0.0034289755854671096
4.00_-1.00_1.00_NH3+_C:,0.0011025356619447872,0.0023628445047929516,0.002990686043967135,0.0033538789855823165,0.003174208804543815
5.00_-5.00_-2.00_NH3+_C:,-0.008551908378353755,-0.010891613655834857,-0.011409619897835307,-0.010195695888263669,-0.009771464881575233
5.00_0.00_1.00_NH3+_C:,-0.00041632762885558986,-0.0013183196591856107,-0.0013586543034783906,-0.0013751031191846148,-0.0013183511575814964
-3.00_-3.00_0.00_NH3+_LJ:,0.009370533910157748,0.019597998602430184,0.021146931695657883,0.019499428981514317,0.019441031153795977
-1.00_-3.00_1.00_NH3+_LJ:,-0.003641874156767094,-0.005557891012391394,-0.004183921642392939,-0.004328840168936604,-0.004058928712704149
2.00_-5.00_-1.00_NH3+_LJ:,0.005735277793471542,0.01035273069747002,0.009600381504656228,0.00983979115363346,0.009771509209761362
4.00_0.00_-4.00_NH3+_LJ:,0.21378070580408723,0.2560366950261385,0.3631470920168585,0.451652074841433,0.41884167906040487
5.00_1.00_-4.00_NH3+_LJ:,0.4410653889852026,0.2453254023630576,0.17725956890031272,0.28201245913465844,0.3755910508592429
8.00_-5.00_2.00_NH3+_LJ:,-0.005858611871719207,-0.006585272337324397,-0.007909116180240839,-0.008813917860163225,-0.009796993415195677
8.00_-4.00_-2.00_NH3+_LJ:,-0.0032074429602199565,-0.0018458557682194084,-0.002137933257529987,-0.0020708441957006,-0.001731741071266436
indT,7.66942194640199,6.1867773023922865,6.397167527768926,7.015435883018045,7.206679786533414
