;2.00_1.00_1.00_NH3+_C:;3.00_-4.00_-1.00_NH3+_C:;4.00_-1.00_1.00_NH3+_C:;5.00_-5.00_-2.00_NH3+_C:;5.00_0.00_1.00_NH3+_C:;-3.00_-3.00_0.00_NH3+_LJ:;-1.00_-3.00_1.00_NH3+_LJ:;2.00_-5.00_-1.00_NH3+_LJ:;4.00_0.00_-4.00_NH3+_LJ:;5.00_1.00_-4.00_NH3+_LJ:;8.00_-5.00_2.00_NH3+_LJ:;8.00_-4.00_-2.00_NH3+_LJ:
DFT_K111_;126.79023348742585;104.01820971830271;-541.225481799391;34.40197923077513;-140.44653682259985;126.54498817582375;-0.9725171630817664;36.23846024631073;-1.810116836454772;-0.8054822260420518;-0.1972846598325202;-0.3349524553514451
DFT_K010_;126.63541243797617;113.84964735462007;23.72157130886197;22.706012462182823;-644.8417920421116;126.56885380349088;-0.0087417154491522;126.85630295364766;-2.092451973820651;-1.0516030978163595;-0.7622980916474135;-1.4021494459869237
DFT_K003_;127.17177878294262;-95.13885654978723;111.7046391468346;34.442182339145305;127.22478824310167;126.59244078280655;-0.2426762687674752;127.94343470869427;-2.085279866267181;-0.9952216419140408;-0.7814233849564098;-1.3078306744513852
DFT_K105_;33.1687550764681;126.68388044372553;-2.748128357247748;92.93242035002253;-217.146730988733;126.42287106650231;9.670809850033908;127.39360038147291;-2.562510171917454;-1.5068061297905613;108.14942053546363;127.98324937788078
DFT_K124_;127.12647661433661;127.03466137550231;126.240936129022;95.58026825921569;-89.61485962213956;-1.23776940179741;0.034919845952518;121.21740518712365;-2.1640987605966773;-1.1183749105446985;-0.8415423232033067;-1.3447397564144554
DFT_K080_;126.77574860774685;108.8076249366216;-68.23831694556138;37.748513929138745;126.85886483099665;126.54499351320041;-0.7621479916849542;95.58733284696584;-1.774021493688529;-0.8031739305051034;-0.2062744148673279;-0.3594941339180553
DFT_K014_;127.18804285975231;126.74359318659349;90.80544631729067;66.04455713328005;-382.8037625048466;126.60394262348568;-0.6294173251162692;126.69335339617938;-2.153102245444729;-1.1007207748620105;-0.8445577170321984;-1.1915924662622632
DFT_K102_;84.94286928409963;71.59975301494822;89.11957434652956;34.040513158080884;-0.6842351759210744;126.38086211547123;126.06979518959784;-3.1641244348458404;-2.803559388977782;-1.2910218737786168;-0.8140800282215923;-1.3415424157780684
DFT_K009_;29.218224976823464;60.57749847202918;-147.69106437808722;-7.57093739183825;-502.0663126410966;126.74921221380811;-0.0669713790469279;126.76093992368493;-2.2270915458088836;-1.1839471005950182;-0.8102325644303883;-1.4750103240572514
DFT_K063_;126.52093183008456;97.45015283483473;-76.4078295608261;28.77598587664899;-216.6863776196182;126.73548969720048;-0.6899477744367188;97.33117796070206;-1.9284058286482544;-0.9587573575963475;-0.293051074626399;-0.4413444116048272
DFT_K104_;126.48836919038368;-65.92555265019382;30.49390531750589;92.57931023134718;127.09269441926251;126.65674380912196;-0.3557993444855543;128.53924945555804;-2.531643034361467;-1.292188257572726;127.28763912517415;127.45227688461114
DFT_K065_;127.10433879506023;-5.831147997845789;102.66278669140412;44.22496053978461;-123.67792349228762;126.58560850709573;-1.2087516179552749;128.2828668785268;-2.2085489604672146;-1.0174143247662908;-0.3471847451709214;-0.5867320770118118
DFT_K083_;126.55994027156615;-4.503979783131417;35.05936460198339;-6.9628168501654955;126.62832195943702;128.03074018904695;129.04300739303238;88.91983290539704;-3.586868932604181;-1.5272633573026009;-0.6696446950908445;-1.480737066635092
DFT_K020_;49.25244759399335;126.79005888548666;-4.808263050730925;36.26025327312362;-363.12830739049485;126.50801392297534;1.6710711279670871;127.19654767570287;-2.6612113566419353;-1.4105099415315356;7.330271923145712;127.63100502862565
