;2.00_1.00_1.00_NH3+_C:;3.00_-4.00_-1.00_NH3+_C:;4.00_-1.00_1.00_NH3+_C:;5.00_-5.00_-2.00_NH3+_C:;5.00_0.00_1.00_NH3+_C:;-3.00_-3.00_0.00_NH3+_LJ:;-1.00_-3.00_1.00_NH3+_LJ:;2.00_-5.00_-1.00_NH3+_LJ:;4.00_0.00_-4.00_NH3+_LJ:;5.00_1.00_-4.00_NH3+_LJ:;8.00_-5.00_2.00_NH3+_LJ:;8.00_-4.00_-2.00_NH3+_LJ:
DFT_K001_;130.43409007012016;-28.26908370449705;-85.19505834243282;16.57304122727136;128.9121672992448;130.00581604627138;-1.7460360677334446;136.90682910412747;-2.322331323658237;-0.9293393391612864;-0.2696890195937772;-0.5618149642681938
DFT_K002_;131.8370968423023;-143.76697619359084;57.19408395284836;8.279341787840991;132.71381604653112;129.13421443736354;0.1214591956400339;138.5424141731763;-1.901853785047366;-0.8919364928784708;-0.3315787551265159;-0.6202095888130446
DFT_K003_;132.31294357713247;-95.13885654978723;111.7046391468346;34.442182339145305;132.6416406726627;129.28211885340048;-0.2426762687674752;138.18889197035267;-2.085279866267181;-0.9952216419140408;-0.7814233849564098;-1.3078306744513852
DFT_K004_;131.55438864863797;129.64676445566835;92.28438824038194;54.13139759550587;-527.7423541384301;129.99404014470366;-0.3405692525984856;128.46706364031928;-1.825374122221864;-0.8731401165987978;-0.2272246940320728;-0.3834541701545269
DFT_K005_;82.30404647198921;122.1150670673496;-49.67030384362615;27.41180259068851;-367.9184552268538;129.60040912625269;-0.5226912653884807;125.42849105353504;-1.9046690976316227;-0.9629517588821328;-0.2925341191237647;-0.4371358718361408
DFT_K006_;104.14823840332916;-155.23629057347458;37.3524274895914;1.2091300004938643;130.0195826280724;128.9722318140774;15.456390471625705;150.64925099398974;-2.4055500582421283;-1.3372776586977846;23.85221663659121;6.71195235355137
DFT_K007_;131.674575063057;-228.96562756730776;15.442184516769116;10.152846906521532;131.80198112325817;129.33213409723933;-1.7617605267845229;143.45766421700637;-2.697213186666005;-1.1373301407645555;-0.8168907092618494;-1.4547020590533992
DFT_K008_;131.47776264335877;-65.91941585314682;55.30020955155832;-1.841587901092112;131.65573225151567;129.34115338625352;-0.9183120219362116;143.9544263345673;-2.29616650741689;-1.0533680490275596;-0.8141593989544362;-1.4108952829311805
DFT_K009_;29.218224976823464;60.57749847202918;-147.69106437808722;-7.57093739183825;-502.0663126410966;130.00930071062024;-0.0669713790469279;130.0662660298339;-2.2270915458088836;-1.1839471005950182;-0.8102325644303883;-1.4750103240572514
DFT_K010_;129.4752360617976;113.84964735462007;23.72157130886197;22.706012462182823;-644.8417920421116;129.17804477463443;-0.0087417154491522;130.54339571724634;-2.092451973820651;-1.0516030978163595;-0.7622980916474135;-1.4021494459869237
DFT_K011_;129.63638653296908;129.7823368647314;70.24822968714773;20.746244515309883;-274.12293861653893;130.06241801015872;0.0284491389769777;130.03999338961464;-2.0289279720247992;-1.0641053861388616;-0.3924982311232824;-0.6686699765887191
DFT_K012_;98.62867700258406;128.77576491884213;47.85320247202809;27.511337117381974;-312.9045429446068;129.24470857546373;-0.1318472153527856;130.07982574725517;-2.141117744304984;-1.133176399555;-0.8665612259973146;-1.5730230653867168
DFT_K014_;132.41277391565725;129.98213738706647;90.80544631729067;66.04455713328005;-382.8037625048466;129.33336161129188;-0.6294173251162692;129.74297019789677;-2.153102245444729;-1.1007207748620105;-0.8445577170321984;-1.1915924662622632
DFT_K020_;49.25244759399335;130.2093078653982;-4.808263050730925;36.26025327312362;-363.12830739049485;128.9157576544506;1.6710711279670871;132.4653344507254;-2.6612113566419353;-1.4105099415315356;7.330271923145712;135.50596369818697
DFT_K022_;127.06445833796711;123.530275426111;9.999347356352713;2.456074376176886;-173.9232021658687;129.35966554195272;-0.7988653442077578;102.03032646049256;-2.220692275693996;-1.1365234515305656;8.144030903004055;-0.5304856777992301
DFT_K041_;129.59667431155603;122.80581184318476;72.13295598455151;-13.604379738871089;-82.27899621583586;129.2002927256112;-0.8972233544264697;88.41775804208696;-2.3984206365351315;-1.2603678284991295;-1.3392593484686657;-1.9918101047753352
DFT_K044_;21.910645015735938;129.68620518466233;-1.2506986616636446;93.646143307529;-287.8655033046216;128.91429650997142;3.8175252791670222;133.22896779898645;-2.5014324996042863;-1.4198235499845495;-2.013550669809293;138.13961011405428
DFT_K045_;131.47888956055627;-39.79048182018491;36.99305394478797;-9.979587436321856;130.36924222273603;122.5770067049339;39.08161957922712;136.81372925884702;-2.7119689604158923;-1.1766351371775137;-0.8001582849798041;-1.475287130865361
DFT_K051_;55.37763358760654;20.145817032348596;86.5670845085308;5.091978910583711;93.1176268107233;141.95024576247903;136.37727677628774;-2.515909292711538;-0.4378140123638983;-1.9578890739107804;-0.6534147030250114;-1.5166324947837555
DFT_K052_;131.17761480343003;129.54109930534966;87.71340995240763;36.68496633060181;131.9174798361898;128.92619007405904;-0.4019883938872872;129.36709432898368;-2.014056350662873;-0.9689508094532052;-0.7654835621294263;-1.2700266247455312
DFT_K053_;130.35069517425572;-92.03051303354825;5.715787152306604;-18.0750729622128;131.5516826638879;65.89479993149085;-0.7355693504534083;144.3443221992329;-2.295661283461875;-1.0628383724066612;-0.8148672211650086;-1.4100344750204534
DFT_K054_;21.95224975033785;129.69043402404537;-21.910986526441608;26.14199128437135;-366.67529466865295;129.07577156204155;2.2600220462382;132.72795722276769;-2.7000484080193505;-1.4450682022980623;55.3041075202072;136.98783468240873
DFT_K063_;128.97071542007785;97.45015283483473;-76.4078295608261;28.77598587664899;-216.6863776196182;129.94311151854725;-0.6899477744367188;97.33117796070206;-1.9284058286482544;-0.9587573575963475;-0.293051074626399;-0.4413444116048272
DFT_K065_;131.90840337794862;-5.831147997845789;102.66278669140412;44.22496053978461;-123.67792349228762;129.25183319738426;-1.2087516179552749;141.67772579239744;-2.2085489604672146;-1.0174143247662908;-0.3471847451709214;-0.5867320770118118
DFT_K075_;57.03922691086613;36.59539215189589;79.65016586986141;16.54395185726572;99.64068931886122;151.72893190502919;146.1635256218401;-0.6642057524258851;-2.299012562287424;-1.807762589016635;-0.6805643263668856;-1.5106561094627529
DFT_K080_;130.1387243811466;108.8076249366216;-68.23831694556138;37.748513929138745;130.5565624596508;129.07413161922796;-0.7621479916849542;95.58733284696584;-1.774021493688529;-0.8031739305051034;-0.2062744148673279;-0.3594941339180553
DFT_K081_;130.4475753227254;-23.420635565745016;-86.34919669975348;18.956848643707737;129.03837973303902;130.0103044268757;-1.74566358050445;136.90742500920717;-2.3223407134252234;-0.9293698876669967;-0.26968398500076235;-0.5618046625225431
DFT_K083_;129.13906585176173;-4.503979783131417;35.05936460198339;-6.9628168501654955;129.4430552805568;139.02491740472536;152.31633103540594;88.91983290539704;-3.586868932604181;-1.5272633573026009;-0.6696446950908445;-1.480737066635092
DFT_K085_;119.16242067500292;111.6364695966302;-17.97755168041249;38.83420302886999;-310.80737934973234;129.69980422841715;-0.1568209514802807;129.79182455468384;-3.1720888322643197;-2.4752361255159943;-1.7548258467630629;148.92866968168974
DFT_K086_;-34.18429948073581;126.33416411082035;-41.56877075490208;76.19048390060937;-266.53149124762484;128.8931197846025;6.056781930179338;133.52129737671223;-2.543133651951281;-1.4687289291230792;137.66983295211884;137.61520356218836
DFT_K089_;131.70972159466163;130.94331510710657;64.14439163678969;57.77653311333069;131.05918851988847;129.56819621018406;-0.9964811602674128;27.947315360041447;-1.8925063282235528;-0.8493682934749919;-0.338600406648418;-0.5653209514286339
DFT_K092_;46.10691403414721;130.87853671564372;42.741051893918154;128.07713483871507;-150.98581898666873;128.85078006829735;9.520296431142546;133.63529675672586;-2.7958598209218724;-1.8112331015812075;10.986891156229138;157.27163739064565
DFT_K099_;130.32584637393768;90.30819766966502;29.08496922035156;16.454979383745645;-84.62236245531304;115.7439495657744;85.05194152595863;9.023645803212744;-2.266555611173896;-1.1342510996838953;-0.8475749697032626;-1.3315039916947422
DFT_K102_;84.94286928409963;71.59975301494822;89.11957434652956;34.040513158080884;-0.6842351759210744;128.3951715707388;127.26525138763857;-3.1641244348458404;-2.803559388977782;-1.2910218737786168;-0.8140800282215923;-1.3415424157780684
DFT_K104_;128.8329273644223;-65.92555265019382;30.49390531750589;92.57931023134718;131.84006316431393;129.57281178382308;-0.3557993444855543;144.78095544143738;-2.531643034361467;-1.292188257572726;133.04400457889056;134.16647726528512
DFT_K105_;33.1687550764681;129.69861105984103;-2.748128357247748;92.93242035002253;-217.146730988733;128.56314795117763;9.670809850033908;133.75470657695473;-2.562510171917454;-1.5068061297905613;108.14942053546363;138.56516858490335
DFT_K111_;130.210172505969;104.01820971830271;-541.225481799391;34.40197923077513;-140.44653682259985;129.07410852705533;-0.9725171630817664;36.23846024631073;-1.810116836454772;-0.8054822260420518;-0.1972846598325202;-0.3349524553514451
DFT_K124_;132.03954418010895;131.50593075899954;127.8628917267749;95.58026825921569;-89.61485962213956;-1.23776940179741;0.034919845952518;121.21740518712365;-2.1640987605966773;-1.1183749105446985;-0.8415423232033067;-1.3447397564144554
