,LV1
8.00_19.00_5.00_NH3+_C:,-0.026086320924530143
12.00_26.00_3.00_NH3+_C:,0.0065450731459095
13.00_20.00_3.00_NH3+_C:,-0.0011254630842863456
14.00_20.00_1.00_NH3+_C:,0.002501879712366318
14.00_20.00_2.00_NH3+_C:,0.003532645853736238
17.00_22.00_0.00_NH3+_C:,0.004584369879819813
20.00_19.00_-1.00_NH3+_C:,0.010031289119863568
20.00_21.00_-3.00_NH3+_C:,-0.001165357469798957
21.00_23.00_-1.00_NH3+_C:,-0.015760926044326842
9.00_24.00_6.00_NH3+_LJ:,0.21344979329678657
11.00_22.00_1.00_NH3+_LJ:,-0.007886754209927526
20.00_18.00_1.00_NH3+_LJ:,-0.5501516759457228
20.00_22.00_3.00_NH3+_LJ:,-0.010875701156772484
21.00_17.00_-1.00_NH3+_LJ:,-0.0032705325649531104
22.00_19.00_-4.00_NH3+_LJ:,-0.009038896235916766
23.00_19.00_-1.00_NH3+_LJ:,0.007332701305182025
indT,83.3262311856622
