,8.00_19.00_5.00_NH3+_C:,12.00_19.00_3.00_NH3+_C:,12.00_26.00_2.00_NH3+_C:,12.00_26.00_3.00_NH3+_C:,13.00_19.00_3.00_NH3+_C:,13.00_20.00_3.00_NH3+_C:,13.00_20.00_4.00_NH3+_C:,13.00_21.00_4.00_NH3+_C:,14.00_19.00_0.00_NH3+_C:,14.00_19.00_1.00_NH3+_C:,14.00_20.00_1.00_NH3+_C:,14.00_20.00_2.00_NH3+_C:,14.00_21.00_2.00_NH3+_C:,14.00_21.00_4.00_NH3+_C:,15.00_19.00_0.00_NH3+_C:,15.00_20.00_1.00_NH3+_C:,15.00_20.00_2.00_NH3+_C:,15.00_25.00_1.00_NH3+_C:,15.00_25.00_2.00_NH3+_C:,16.00_18.00_0.00_NH3+_C:,16.00_20.00_2.00_NH3+_C:,17.00_19.00_0.00_NH3+_C:,17.00_21.00_0.00_NH3+_C:,17.00_22.00_0.00_NH3+_C:,18.00_22.00_0.00_NH3+_C:,19.00_15.00_-3.00_NH3+_C:,20.00_19.00_-1.00_NH3+_C:,20.00_19.00_1.00_NH3+_C:,20.00_20.00_-1.00_NH3+_C:,20.00_20.00_1.00_NH3+_C:,20.00_21.00_-3.00_NH3+_C:,21.00_18.00_-2.00_NH3+_C:,21.00_19.00_-1.00_NH3+_C:,21.00_21.00_-1.00_NH3+_C:,21.00_22.00_-2.00_NH3+_C:,21.00_22.00_-1.00_NH3+_C:,21.00_23.00_-1.00_NH3+_C:,22.00_20.00_-1.00_NH3+_C:,22.00_21.00_-3.00_NH3+_C:,22.00_21.00_-1.00_NH3+_C:,22.00_22.00_-1.00_NH3+_C:,22.00_22.00_0.00_NH3+_C:,23.00_20.00_-1.00_NH3+_C:,23.00_21.00_-1.00_NH3+_C:,6.00_25.00_2.00_NH3+_LJ:,8.00_23.00_3.00_NH3+_LJ:,8.00_23.00_6.00_NH3+_LJ:,9.00_24.00_6.00_NH3+_LJ:,10.00_22.00_1.00_NH3+_LJ:,10.00_23.00_2.00_NH3+_LJ:,11.00_21.00_2.00_NH3+_LJ:,11.00_22.00_0.00_NH3+_LJ:,11.00_22.00_1.00_NH3+_LJ:,12.00_20.00_5.00_NH3+_LJ:,12.00_21.00_5.00_NH3+_LJ:,12.00_22.00_2.00_NH3+_LJ:,14.00_25.00_4.00_NH3+_LJ:,14.00_26.00_1.00_NH3+_LJ:,17.00_20.00_1.00_NH3+_LJ:,18.00_18.00_0.00_NH3+_LJ:,18.00_18.00_3.00_NH3+_LJ:,18.00_20.00_0.00_NH3+_LJ:,18.00_21.00_1.00_NH3+_LJ:,18.00_22.00_2.00_NH3+_LJ:,18.00_24.00_4.00_NH3+_LJ:,19.00_20.00_-4.00_NH3+_LJ:,20.00_18.00_1.00_NH3+_LJ:,20.00_20.00_1.00_NH3+_LJ:,20.00_21.00_1.00_NH3+_LJ:,20.00_22.00_3.00_NH3+_LJ:,21.00_17.00_-1.00_NH3+_LJ:,21.00_17.00_1.00_NH3+_LJ:,21.00_18.00_-3.00_NH3+_LJ:,21.00_19.00_-3.00_NH3+_LJ:,21.00_19.00_-1.00_NH3+_LJ:,21.00_21.00_0.00_NH3+_LJ:,21.00_22.00_1.00_NH3+_LJ:,22.00_18.00_-4.00_NH3+_LJ:,22.00_19.00_-4.00_NH3+_LJ:,22.00_19.00_-3.00_NH3+_LJ:,22.00_20.00_0.00_NH3+_LJ:,22.00_21.00_-5.00_NH3+_LJ:,22.00_21.00_-3.00_NH3+_LJ:,22.00_21.00_-1.00_NH3+_LJ:,22.00_21.00_0.00_NH3+_LJ:,22.00_21.00_1.00_NH3+_LJ:,22.00_22.00_0.00_NH3+_LJ:,22.00_23.00_-3.00_NH3+_LJ:,23.00_17.00_-3.00_NH3+_LJ:,23.00_19.00_-4.00_NH3+_LJ:,23.00_19.00_-1.00_NH3+_LJ:,23.00_20.00_0.00_NH3+_LJ:,23.00_20.00_1.00_NH3+_LJ:,23.00_21.00_-1.00_NH3+_LJ:,23.00_21.00_0.00_NH3+_LJ:,23.00_21.00_1.00_NH3+_LJ:,24.00_20.00_0.00_NH3+_LJ:
DFT_K001__PAC_aligned,3.4242324775872923,13.908754279078313,-1.2860756354494995,-7.383184162484113,14.451769867024504,19.455701320996493,5.216552098114072,0.2925476784565255,43.77714117215206,32.187930966487905,26.45550972157234,35.68556566911521,68.02819644151178,-3.3167247525532204,59.13161242337571,42.5372363743144,47.79344032438912,2.433880621768268,-11.433509382118393,47.021855683302526,37.44048603451285,92.00301495710337,129.38044512756568,82.66548087871742,77.77501162743025,9.550375009254255,126.62085388654874,-170.58017066925285,133.51296133339062,-829.4412864352638,-320.6232498511112,-8.888876408219087,-98.42712938684936,24.92376325621954,-31.002419952662763,-10.49847494263825,-10.644600401880638,-1024.0107719454645,61.36388665284552,-113.5824071986154,-26.624482099740867,-37.18465500286655,-112.133297109162,-45.46976068014834,-0.0482211831640809,-0.321699549383278,-0.1421838658395429,-0.2811075470841996,1.5284621181973033,-1.469000660187703,99.39293449455532,89.3818625399326,137.4466298494349,-2.125562127515772,-0.7858865819738554,150.32156430388295,136.93044470016176,-2.3822553626653047,153.11731727344724,126.52873111125906,89.93232479668679,168.99659326346443,161.79927706888628,138.0118226220728,8.374294241682776,132.2053704593341,136.7142805668467,176.24965390076446,145.34078676668398,64.30851263232664,-1.8031021393716296,-1.012516554702842,22.89212794459929,135.49058672013248,146.41714543553235,139.33151329398942,85.14474276901555,-2.440334552670829,1.3747716635501823,134.85830406191914,142.94036349266037,-2.1257536719800814,133.980917203264,144.42980500257121,136.67611180440986,131.42339377007343,19.88122678003687,-2.200427833177704,-1.6270087009719998,-1.802483371769576,140.12737792503808,136.12380741417672,14.021714428755336,136.97863407979824,130.24348036037165,-0.0851981054878732,11.337055289546733
DFT_K002__PAC_aligned,-16.550748626295857,-50.60971259615984,-6.483272974635913,-9.97461780841318,-6.290803832805235,-7.811728115643653,-63.17810161618465,-211.3542799411148,79.65508468351588,71.95637450152972,128.29186440293643,130.75890408401764,132.60638927266766,-256.0113438205961,75.1442233414395,58.94468181429919,99.63579763251404,12.312793461579334,6.740965067819978,69.8558338005265,47.09483389698396,111.71660045863509,129.24872706755957,88.66569534096,92.68943563401048,13.026336108638166,129.25744420380747,-205.1643760890504,133.70744499760033,-537.7522042557035,-250.73324292651688,4.292635245433921,-66.40250397291723,-50.18987716859149,0.5590339850581945,-4.912575233726832,3.419511880247049,-729.0058234834779,126.1005646084482,-166.9755567455876,-28.815194590248048,-32.83425236769345,-113.53310486322164,-60.035076631114656,-0.033938735619731895,-0.2699099547478928,-0.1001894581238007,-0.1342991468247015,3.8646652800892025,-1.5308641848664175,144.39535622484064,7.1749328953911125,130.47849853945402,9.368341461253156,125.89302861427822,136.44130829983928,-1.4280278001548905,-0.6152390396234527,155.9788874602167,106.13396176134452,60.69117332829946,168.0267097700687,157.93258574967078,137.85031461958812,-2.077181610892524,137.0770922068913,137.97219909653836,170.18589368849968,143.69322218571904,76.27922812765907,-2.991744128243963,1.947900023098599,29.69171129116827,136.50667762179773,144.90626161596083,138.9819262806616,55.77854352629636,-2.5982868937954247,2.3114818223292475,134.4683544007633,141.1683734334267,-2.2325921993101816,134.81761063117483,146.5499689342583,136.8880739094114,130.2203933541599,29.028376842310863,-2.81204090403669,-1.556754660359796,-1.9376158922625952,136.8089571946954,133.9849716011656,7.211189572960216,136.99333246875534,127.90711965084463,-1.182572971809044,2.813332642325199
DFT_K003__PAC_aligned,-4.42055817908944,-9.138961840755726,-4.347621640817419,0.5434993287572123,-2.8731209474138453,-0.9234202407180518,0.9082793810405114,3.811253345113872,11.254384256576358,15.372904171672252,27.53609881603569,20.40548550022155,47.24171809586583,9.327389318029091,116.3601879943918,88.32884578458551,34.435203447966096,45.430491561480665,84.17117408686394,41.2897751309696,18.313501248288688,68.81813525089315,111.66885106686443,66.64688840136319,65.88068717933444,6.506319178843571,129.62812913651356,-144.10529298468398,133.61213126022596,-761.5710577933274,-154.47946043630398,18.93998361876531,22.60222012441185,-163.7613285203379,-36.38351024804611,-50.982643399400565,-16.53851736257206,-420.671675189199,129.72937162052452,-318.6107477155247,-81.66323949162755,-57.86410140327972,-105.92196988888226,-99.69906322580565,-0.0723009655627802,-0.3667452742019387,-0.0840643481528858,-0.135383577238453,0.6641704244216006,4.567261163108947,-0.6787652830244959,129.60979660146992,131.4875302406859,-0.8021054543455499,-1.095971092768647,133.84081161519535,4.780683806785945,21.426570632026078,153.69945524406364,115.57320989859892,85.4352724636414,167.15718134564028,160.75985079439505,139.45305173020108,2.08462737873264,137.7253975301214,136.71935540348468,175.66058244276766,145.27990767634418,71.31754050340352,-3.616875205861015,-0.628164936087324,31.645461310802983,137.52605464245846,143.02647296920807,139.33234685477257,84.76199647770298,-2.699462094401329,2.9000795635033114,132.78801998738246,138.79745555327383,-2.384785599904526,138.07764636827284,151.1948837001322,137.63472816214812,131.47259937438173,93.008491081834,-2.050072737493229,-1.4231744248775775,-2.1963078189618472,132.75070818639992,131.40378230798174,3.946553710811259,138.46076345866126,129.55698051654278,-1.1563281898057491,-0.1506189061607976
DFT_K004__PAC_aligned,-9.825311139093266,-78.93089778284647,7.892126249159549,4.667150240010628,-134.2951121277497,-627.4165252929618,-249.58247483937464,-124.01064532038238,6.820254501780024,0.3197955829001131,16.82318196055423,63.27784438990281,130.83627714829998,-75.98840056539818,14.768384696600249,20.5952872084356,33.335644695578395,15.272774857255351,9.78093585471331,14.148523168219914,36.717166136617365,38.53016333727865,87.17979743914887,68.72796690756914,55.30236962426296,2.407130270157838,131.15415855519313,-165.63395728590797,133.17837396576283,-712.6616940091251,-116.5007535011567,-15.125094887617646,-11.259333893579726,38.76264229822454,7.091908471094619,11.596265544227323,6.763700546534633,-133.49218530670612,16.674217747767607,-28.06137938526109,-4.76940811412031,-6.991080542704305,-62.40419637552662,-29.85129014094313,-0.0317735209787904,-0.2100633938137584,-0.0784912387776243,-0.1063686297488668,-0.510345595865533,-1.2870989395083607,132.3063974606054,15.47505945898417,134.4974742087332,110.40685730365158,37.95824493596955,153.949690134954,-1.314457944340634,-1.4476762045449076,154.87909489537546,99.7259286874317,96.43667817107888,164.8582914519685,159.36181586672947,137.36085744714302,-1.857941130459444,140.52136040186406,137.18670998463267,174.8155680889268,144.77781648354528,97.35922553247198,9.171885076074055,-0.3731591150407523,132.81408554353138,140.58061801302773,149.7234394645979,138.04820940652863,70.75855582362716,0.4583615229834931,29.863476340984807,140.0958973247264,136.10777082023333,-2.241200805493586,131.84266283539046,136.6436447456393,126.82662807712713,130.39280612322858,-2.4861558669588466,-2.356340359262509,-1.715020216948956,0.5528290553199361,137.01403799924879,56.06123042769679,1.5922195609110652,81.43708222772946,1.48708365339765,-2.7698567356861314,-2.1983524872638536
DFT_K005__PAC_aligned,-4.37231141005223,-19.712141671465826,9.01104256442848,5.373858678351953,-23.01534263419743,-52.86099395353189,-87.24710167552047,-366.36288208565225,3.0668628995343923,-2.941034495518579,-6.893462419732934,-11.368683185523828,12.406650825485528,-86.61019778836234,7.963093015299272,-6.396164109045927,-9.890554463578155,9.187234732660876,2.305889090004243,9.240728562201454,-10.413705446010797,30.53927093251928,75.0757447717079,50.34979516166584,44.477873496022085,0.7647519059646335,130.54804657487438,-175.96058439707923,132.9449996021704,-702.962477652827,-420.71837213222653,-48.46402834116379,-58.80606405067172,36.99612405217518,-28.18948139542173,-4.267004390459318,-4.222443543483243,-102.9071808746826,37.298406559910006,-18.39995826344876,-9.565674475642703,-10.628515656858909,-64.09415761578066,-27.190608241645155,-0.0435153424290888,-0.3176644829426032,-0.1564473125464734,-0.2321173135382261,-1.9429572268595487,-1.4159533448800945,11.756477162183575,0.5009546720519792,67.06533141526454,136.56072434980013,139.36468583838163,143.01785977541545,-2.8304810188807776,-2.2348361748392307,155.17625793436986,91.11583310996424,90.2110161652243,164.3866021911438,158.8048443657076,137.66945990707242,-2.3778950917205868,135.81186856275613,137.2269117958818,174.41027723207208,144.66964904237727,97.39906599520756,62.23060612094781,-0.4361928723981063,133.64838630677747,139.7911292017602,153.7377649284969,138.36341969514646,67.85613771856248,0.9075813013111781,21.13255166898662,139.210041349138,136.69074064653336,-1.5192038018767635,133.7966471991728,135.01947158671635,126.88852241091203,130.18113883948232,-2.343879020792204,-2.147184425164939,-1.0478165670038595,-0.6559143088248064,139.83809958769552,89.60853381042757,1.732089550690148,38.665930955259526,0.2230633004112768,-2.986684445257363,-1.8998972732243808
DFT_K006__PAC_aligned,-9.818450640506464,-51.43346972842132,-29.89612463645157,-28.12912228008842,-64.29090354734242,-342.96389634198977,-114.29261873619818,-71.74524550697899,36.58979423008768,36.77528897388939,69.08230358392544,120.73746730674348,130.8913554711176,-31.77562392145134,34.524767383725774,39.86879671515758,1.2458711898460866,-5.452326610565753,-12.345247636302382,25.379491291992217,30.048098769933443,45.6941476658406,94.65708457750668,81.80445627195982,64.87077298585447,3.6543641939499794,130.54889078337982,-147.05166783131,133.29936203858264,-668.6949610661435,-13.748471083093824,-7.40789487305468,7.130895178523071,28.227152915382515,11.865766284921902,14.22271930339431,9.812766253345478,-197.0865421079388,-8.395283099685074,-52.78370864554508,-11.29220272691646,-11.140193824697995,-71.7507830594755,-40.89408998420731,-0.1815932032010622,-1.411781518168336,-0.2195604105018739,-0.2460504897151864,149.11558217667218,36.29473489570814,138.88301431217556,143.44629279609785,147.2793332690264,135.74870900727822,131.86323370007727,147.7458692007718,-1.3905445185436394,-1.6660484378123166,154.17516996474836,108.4689470351556,84.19266380766385,167.5693292912224,160.10532376931624,137.7481157828522,-1.8421449535479368,139.66405585979948,136.94889729549314,173.87887460127286,144.87064182716443,72.18619869301374,2.0385751326678205,-0.6816591778348864,133.48501478681675,141.47453299222838,148.4190006516103,138.78562301977104,75.4846310950811,-1.3906599417122965,18.96450239760207,137.8059474454587,137.52762883336726,-2.190351922853368,133.3757691984725,139.81499377411015,132.0472027172799,130.9483138815318,0.4661520741205518,-2.192396946165704,-1.9897486946028744,-1.278528425221284,136.21893806705182,100.89217335512306,2.479741605549858,131.4203922996167,11.123131397426542,-2.6002311832803797,-1.8754193031590416
DFT_K007__PAC_aligned,2.017156916119279,11.562250977985217,-12.612046064776518,-6.520432618863316,17.178594410801395,21.459591665019538,20.01522573786936,29.68207454947844,41.06628707682751,32.04810325422744,44.062072391868206,26.003228198232183,11.501857675847994,37.35263037684713,54.72266401247855,42.28855264911521,17.120286742057537,-6.195473720862013,1.5892783589156778,46.74467361020088,13.648704619831832,78.83975990474883,108.40052869095906,53.96389745255828,62.70246300330375,4.000517920657785,129.93668346152876,-108.04705977787296,133.98308634511244,-541.0000616684265,-174.97269302008596,-45.79123730886864,-50.4955764983891,51.359665188233706,-19.62013590639918,15.127140796123983,3.647356583146743,-602.8877651291792,-91.64485825800564,-88.27275272525534,-21.00336274927433,3.534076907626006,-100.72234349793727,-59.29663937666877,-0.1160427801388282,-0.8051052813734838,-0.1346114487222563,-0.189904269771402,138.33539263682403,134.344958744994,135.08682450017187,146.4415531791416,153.86935612103196,-1.6938160171555976,-2.1630221274483503,145.13557584413005,-2.05008317474317,-2.012238704867252,156.96561558044084,94.48408500248532,60.72996056541989,164.83399384151616,156.62321670683912,138.02854904985202,-2.1308862090943883,137.46825578271992,137.40401851487175,172.06344176692932,144.24997683818248,73.1001601328227,0.7633798821345762,0.3223439894295404,67.0709213502275,139.11830345267907,149.53477474057794,138.84980045298232,64.19407651115277,-2.628393425755222,6.670932601145636,134.85283107814965,142.7428509232379,-2.062248656400929,131.87604528145897,142.29474749591768,135.74416225440842,130.9344074892716,9.822198343503729,-2.6047572798056096,-1.7764794436331242,-2.2085493975965167,139.55736369620482,135.12057374964354,12.134131262223214,134.84582945667077,90.96441216787656,-1.1012220932902124,5.248615681307498
DFT_K008__PAC_aligned,-8.234665511269478,-13.234091834839507,-3.643555551746992,-5.732142556107148,4.184049626758515,9.060315102026127,-19.556451987880678,-85.58888269370534,49.43152612820761,23.194175933060965,15.340111182997475,70.09152313792563,127.5701462265803,-48.582888152169694,46.67305010644634,-6.47620924974332,25.047541135824307,7.272727040554756,4.0972823298085785,47.0890301480443,4.540849734078428,75.10594951850173,96.27967632388714,53.8291500174229,56.58347142110304,6.498559230230837,129.4262089854888,-172.8923497157612,133.5663699121202,-627.4172236580054,-118.86274019221474,-5.234434939783733,-19.17093425293049,-55.43506159787113,43.51574809375215,6.9018774456352485,10.457379504520349,-721.4964277016489,130.853960697907,-212.0734946656538,-18.79398992779892,-36.08177454990528,-140.1730698628118,-73.0444435957986,-0.0720353055706104,-0.7770886344051914,-0.2440274055782661,-0.3410695031914213,133.89931980264745,6.969136112715584,158.2424643913164,132.15252068310863,139.91806321407174,84.20072112220811,137.04611278272634,140.0254233827006,-1.673339024016385,-0.8291772056604416,156.07405361031562,108.83623567051346,64.03785824242135,166.75735272187893,157.44721929941892,138.34901579250402,-2.297933414312197,138.9677682901138,137.45999552012546,172.5011270515436,144.26990705647793,63.81381949218823,-3.380868353379931,0.5241997470416114,51.00953635932204,138.48558799561752,144.02582340259684,139.21612136799988,63.17797423119358,-2.7218540362843933,5.037888945311555,133.63162828011116,140.95582507750788,-2.2783235724618915,136.0657770132162,149.82482000119526,138.04068345407487,130.65176501870783,64.84993735976137,-2.655691172398953,-1.5736526330471838,-2.1820761434047435,135.84538719081095,134.18516169286784,6.988255921567252,138.73010962371316,131.5053592178976,-0.18865916610846,3.7977250931503166
DFT_K009__PAC_aligned,1.9071560016974896,-1.8019993279807596,8.047185547082076,8.964049119782734,-4.418558985113808,-7.187832516281766,0.3323958976781487,6.535661869611053,-0.5051035038750094,-5.893396269557142,-14.39377141380113,-21.48708873754273,-54.57979435238824,6.501335907045643,12.49418288462,-15.992226458038663,-27.596902189173434,-1.09119176211936,1.6042347051219412,17.91809115904507,-26.8888503839419,57.18284762384568,107.6740740463819,46.50765886737135,56.81253400112735,5.6055672119384905,130.25658468231185,-183.10590654387485,133.2915208410217,-613.7539654162814,-291.28512221349405,-11.42994862785666,-21.41569836261657,16.9711047503276,-35.14408009475644,-14.547046201973046,-12.331127018886322,-173.13836942633026,-3.798079965042638,-51.70347826212867,-23.982282259921455,-20.968381300140763,-77.04702692936934,-45.15479829567591,-0.099942746903184,-0.8635866241441421,-0.1712663756829769,-0.2696012797050745,133.0663644593954,134.40595853015222,141.17522305970593,140.11493306598945,144.34108218265607,-2.056449703056781,-2.849946582878861,156.44967986670264,-1.4797436801810688,-2.605030454790854,154.30378768566544,111.71942590996638,79.30157302564837,167.80993689823248,160.00050506005618,137.82597822454775,-2.5776691050324034,136.69618965578186,137.46084918671326,171.96740014008267,144.23439928427356,73.88009550659434,3.834439055070327,0.6478940015889801,130.55638264202125,139.4409242404674,149.14320373900236,138.50284447573418,65.79904891686023,-0.8915552388184056,19.75675931952729,139.09265314594407,136.91064256133183,-2.2444333749466727,133.03499394592367,138.0899974249684,130.59665157038205,130.79217425483648,-1.1524403378847716,-2.584462577009252,-1.7384432066868725,-0.2517220064937641,136.99061687421383,81.82931134400832,2.9287881902151534,128.0843065996413,5.30837207685246,-2.683333029525645,-2.0433686017723547
DFT_K010__PAC_aligned,2.6657674158716302,4.523311788876297,8.563657672111344,9.602611470601516,2.304320234910742,6.364112840570787,10.381693210114944,22.33701981805641,-15.49972805380778,8.80123427998396,79.2439814483281,1.3134770931815964,-53.91553741101608,19.440878891520374,43.893879731856686,24.332991429957104,-5.681875316527606,7.871113858725235,10.25304128655245,20.50619544632839,-9.595817892340538,47.07695735194833,77.91193707655351,39.03131415868985,43.127547797338615,-0.5739662260680514,129.22318356073492,-162.02020899432864,133.4161194167435,-613.0630880646233,-21.289062985490343,35.10178840228004,96.04965691713296,-1.182443201629988,-16.51256236142222,-6.312765784240732,-3.7124779877289313,-179.89581826404623,-48.91584789898616,-107.90809892821127,-35.776460670099034,-22.416296754400168,-70.5601978965369,-60.68127568838986,-0.0719488329952452,-0.7442576421099713,-0.1490965222231234,-0.1955262841969229,136.44279930087518,133.37474046460412,157.6542316865256,146.13090789061448,148.4453761038847,-2.5462825554111688,-2.661018436022012,155.351106583246,-1.8434385705109184,-1.1356957401756147,158.1226953115033,89.00330648079913,57.77520603583768,165.27056135404513,155.6732772881996,138.25696549754693,-2.290720214643276,136.40849566249315,137.3207220959789,172.39825167617553,144.363901789467,72.58512185309588,-0.9238862774204664,0.3677955585977954,134.85763186785667,141.923612993386,146.83909698774883,138.82662076434747,66.39330322976232,-1.7964401983841338,12.871302069076338,135.68603975594445,137.0425871760024,-2.210979937724161,138.2231955036761,145.51505873377772,134.329309088042,130.8581911836574,14.832795175301532,-2.1241037460810057,-1.854448421067028,-1.669972130673913,133.10924121329126,93.4768516958776,2.683655796892192,135.72532874647865,37.190471860643626,-2.542564356671654,-1.88293025203041
