;8.00_19.00_5.00_NH3+_C:;12.00_26.00_3.00_NH3+_C:;13.00_20.00_3.00_NH3+_C:;14.00_20.00_1.00_NH3+_C:;14.00_20.00_2.00_NH3+_C:;17.00_22.00_0.00_NH3+_C:;20.00_19.00_-1.00_NH3+_C:;20.00_21.00_-3.00_NH3+_C:;21.00_23.00_-1.00_NH3+_C:;9.00_24.00_6.00_NH3+_LJ:;11.00_22.00_1.00_NH3+_LJ:;20.00_18.00_1.00_NH3+_LJ:;20.00_22.00_3.00_NH3+_LJ:;21.00_17.00_-1.00_NH3+_LJ:;22.00_19.00_-4.00_NH3+_LJ:;23.00_19.00_-1.00_NH3+_LJ:
DFT_K004__PAC_aligned;-9.825311139093266;4.667150240010628;-627.4165252929618;16.82318196055423;63.27784438990281;68.72796690756914;126.97149108716852;-116.5007535011567;6.763700546534633;-0.1063686297488668;127.4981057920767;127.83292366861083;97.35922553247198;9.171885076074055;29.863476340984807;127.81318462855131
DFT_K081__PAC_aligned;10.525400080877583;3.944284144348624;125.68113156453815;32.3657129772151;-25.966720905222463;-39.67957168426649;125.66433455141186;-270.81329122174446;-10.863057777375923;-0.1124216403644959;127.56766431117457;127.89223997274854;79.2034879123505;40.0072626029017;12.480101388907684;127.91225348921134
DFT_K011__PAC_aligned;-15.18125076566999;-0.3774422560782717;-21.75348602571626;75.5763878773694;126.88350311307101;86.20199524050611;127.11550287404472;9.110185768082056;10.384499081746098;-0.1483492931420867;127.4893153226647;127.87193484818239;69.3278619577887;18.586274034790566;17.809088802371132;128.20844023570552
DFT_K111__PAC_aligned;3.1471086788289213;6.3136776636697896;11.489039171630536;-239.2807422533928;-61.98279789174656;47.83361784969716;126.86106459510967;-74.35851488830058;2.6248508195794003;-0.0872982995428313;127.35051255038633;127.93500859169272;97.35621721068854;39.20227228423319;37.48967357766522;127.83629489515407
DFT_K006__PAC_aligned;-9.818450640506464;-28.12912228008842;-342.96389634198977;69.08230358392544;120.73746730674348;81.80445627195982;126.85737257840685;-13.748471083093824;9.812766253345478;-0.2460504897151864;128.72220973637064;127.80568193854828;72.18619869301374;2.0385751326678205;18.96450239760207;127.7194160817523
DFT_K102__PAC_aligned;-1.427083347412836;-15.17022658429118;52.58993632530085;3.231323649604416;-173.0520698245218;43.46771364778796;126.26012908753354;-13.000967183172053;10.222849525605923;-0.2845997116523368;128.86385591725275;127.92965758796208;87.74325741681403;-3.185991013411723;8.485579259728684;127.77721823472535
DFT_K044__PAC_aligned;-11.844849320210324;-22.399690470944684;-44.740910414206965;9.26483534875483;-11.335593468728856;52.81438235111143;126.50652878477761;-462.4837619573184;3.1866884563654314;-0.9119265988532106;127.97914866803232;127.88013408821823;86.98034373793337;13.710179502028485;43.816766643163845;127.59243835414667
DFT_K002__PAC_aligned;-16.550748626295857;-9.97461780841318;-7.811728115643653;126.35453494806472;126.89778679641176;88.66569534096;126.58687626119726;-250.73324292651688;3.419511880247049;-0.1342991468247015;126.84362269298964;127.92010337431094;76.27922812765907;-2.991744128243963;2.3114818223292475;127.78945847192503
DFT_K086__PAC_aligned;2.4555367269504087;-51.12912960686913;-7.786505929703392;28.30911563392107;14.983969634369819;49.26723528528276;126.45454332777206;-144.447151869324;6.995047448388214;-0.9721159941793196;129.73711757727014;127.88742015741501;78.76809070344119;127.66724744928831;21.52031328799401;127.3194156492587
DFT_K124__PAC_aligned;-2.858447138711803;-14.204019486386509;2.8374633896882777;16.295345013798777;15.455996230449788;62.6836714539654;86.96618434996874;-24.812329744470617;3.153535592827195;-0.3400554374506228;128.91668031348152;127.8682903766291;84.7665721609571;-2.894356742719949;126.56210334897662;29.359748212358287
DFT_K089__PAC_aligned;1.328442551168985;-0.951066138868832;125.61339421540448;52.17716477493305;44.73635050572146;-58.44934430857198;126.59302756274909;-100.81201143735554;-1.6735924402658051;-0.1095655192533533;128.59726885798563;127.85806062854472;87.6021932398663;106.96976915591544;51.04796606108231;127.27243365293266
DFT_K080__PAC_aligned;3.448867549808172;1.909626224950257;64.93650326429298;-67.68680180832348;-62.48380921334828;75.1871699106362;92.88938264434694;-342.8886920720089;-0.9273094533808219;-0.0737329314342545;127.84196799738842;127.90098926551154;83.00473537364846;3.018788753613772;11.566917341333284;128.08627419572957
DFT_K052__PAC_aligned;-5.566282245502569;-0.3486536677889251;-15.149557977495736;-65.39441626894855;-17.794311060874566;32.02093012816934;126.73190020306252;-62.71261733081297;-1.4622864824554238;-0.2009040209134986;128.44776026188623;127.86203518978506;75.9283842695481;-1.2045024156978148;10.115201732367956;127.78815072379896
DFT_K104__PAC_aligned;13.16150356680799;5.673368588850694;-23.94114300123524;3.333274429675523;-78.78876121164238;48.47666189878141;127.0672176748675;-21.64636621453456;11.492896587764616;-1.3376432253358173;129.2490843895538;127.94892539292739;91.42404583943224;126.8310207491619;19.661139787816644;128.1249809110171
DFT_K001__PAC_aligned;3.4242324775872923;-7.383184162484113;19.455701320996493;26.45550972157234;35.68556566911521;82.66548087871742;125.86517609179596;-320.6232498511112;-10.644600401880638;-0.2811075470841996;127.86223755928903;127.77839966024891;64.30851263232664;-1.8031021393716296;1.3747716635501823;128.13980199736
DFT_K051__PAC_aligned;-7.653823696345366;5.393949807588979;-7.330474062513574;126.49762693000665;87.69851960487297;64.8106869636578;126.71737622440052;-114.34401299100224;5.289758383932641;-0.1696065251012515;129.1984542990997;127.84851025315484;87.50157164026658;128.33243492925394;26.11754058035321;73.10134964548628
DFT_K010__PAC_aligned;2.6657674158716302;9.602611470601516;6.364112840570787;79.2439814483281;1.3134770931815964;39.03131415868985;126.57912155409939;-21.289062985490343;-3.7124779877289313;-0.1955262841969229;128.8016739940757;127.84809672189499;72.58512185309588;-0.9238862774204664;12.871302069076338;127.29762744014539
DFT_K007__PAC_aligned;2.017156916119279;-6.520432618863316;21.459591665019538;44.062072391868206;26.003228198232183;53.96389745255828;126.73415147277109;-174.97269302008596;3.647356583146743;-0.189904269771402;129.13147905779545;127.85746415459107;73.1001601328227;0.7633798821345762;6.670932601145636;128.0842313787507
DFT_K041__PAC_aligned;-12.555415241019515;-8.639973839931187;-87.14507195738304;54.1635135770622;54.866960002458185;83.68016259667067;126.83539757280046;-65.46751893286374;10.034288994787754;-0.4667083634586519;129.1624468311194;127.8634116337334;70.6015999242805;-1.4118997613107125;10.36640034416116;127.72031118965914
DFT_K014__PAC_aligned;-8.27937615170444;15.585944918215615;-20.99121692052391;8.157580954641844;-7.016521624533468;37.32542326599396;126.93103404831803;-204.42109469732333;5.436403531749207;-0.3794132911236384;87.38426210747893;127.80208466279846;65.4518183803641;78.2907789050798;54.612875876517066;127.71864137085812
DFT_K022__PAC_aligned;-2.684967640520988;-8.17240252679756;80.83374130832969;55.5633225535326;55.45609668346931;83.35303618970964;127.02521105036618;1.4206802532126446;7.927088313053906;-1.1188444415509673;128.57497149440297;127.85193089665444;67.95651938368826;15.70579393407825;35.75436062811168;128.03305664020323
DFT_K075__PAC_aligned;-6.675928286970533;10.3855135260162;4.146804567567571;123.16082648015538;90.1986111063988;83.59860680555705;68.96086170047491;-241.05200616253197;15.079989458717144;-0.1774071007569451;128.82614382979466;127.85541771799923;75.51096102024732;73.74678967055682;28.05169722275093;128.00042636061198
DFT_K085__PAC_aligned;-13.38087534990328;-25.91132840404977;-57.85859351034428;17.414923864998205;6.371072741679219;50.88407233377909;127.00398397519213;13.417422506553171;9.291274635915112;-0.8436681763217279;129.58495921153204;127.81646820415747;72.62896360328092;3.800783840940847;13.664904825391629;127.70650458458897
DFT_K012__PAC_aligned;-16.20771727417906;-17.677739334170692;-51.22355771950252;3.1649050903039893;-0.1036590361640001;81.32753490903713;126.7184349402343;-354.68461423072955;5.230166740428089;-0.3855529195200419;127.82727257444499;127.83472110877946;74.5636321234212;25.02213154041959;18.60774943554605;128.00839885492368
DFT_K005__PAC_aligned;-4.37231141005223;5.373858678351953;-52.86099395353189;-6.893462419732934;-11.368683185523828;50.34979516166584;126.85720829263254;-420.7183721322265;-4.222443543483243;-0.2321173135382261;67.06533141526454;127.83748870879137;97.39906599520756;62.23060612094781;21.13255166898662;128.11181290101328
DFT_K099__PAC_aligned;-3.853314624233244;-25.937790107469542;15.724898123747456;-20.05614179215018;-20.245862006451464;-2.6139264336177988;127.00610717289231;-5.496175606738559;21.770724529136952;-0.3404324190845746;128.6105615595114;127.85649408174656;81.7969734895979;-2.008058502793421;15.5336090047759;127.63064654284666
DFT_K009__PAC_aligned;1.9071560016974896;8.964049119782734;-7.187832516281766;-14.39377141380113;-21.48708873754273;46.50765886737135;126.79958121125395;-291.28512221349405;-12.331127018886322;-0.2696012797050745;128.5050372400498;127.86382764817986;73.88009550659434;3.834439055070327;19.75675931952729;127.81049062988798
DFT_K105__PAC_aligned;5.706619080755485;-74.53489759141337;35.160762043946434;12.74951175100539;19.35503269193567;58.98044021897013;126.91493054799685;-77.21072359003227;9.919619100142056;-3.490264051434564;128.0287962672257;127.859087465768;68.54021768932282;107.11433271215854;19.04142586444852;127.84461004603236
DFT_K008__PAC_aligned;-8.234665511269478;-5.732142556107148;9.060315102026127;15.340111182997475;70.09152313792563;53.8291500174229;126.62459909665814;-118.86274019221474;10.457379504520349;-0.3410695031914213;128.11959302925516;127.8637322255114;63.81381949218823;-3.380868353379931;5.037888945311555;127.67363195868008
DFT_K053__PAC_aligned;-3.054658710144229;5.31674904553252;5.542616263162479;59.92147808315076;20.00720721308523;49.84682420083534;126.53957359278894;-82.20013403352266;6.119846952705604;-0.1520596325837547;129.24212400229086;127.89002082385399;104.79071062353036;0.3234919122449182;15.954661149291644;127.85344557138865
